Topic,Count,Name,Representation,Representative_Docs
0,707,0_luigi_need_we_you,"['luigi', 'need', 'we', 'you', 'him', 'to', 'thank', 'this', 'wheres', 'get']","['LUIGI WE NEED YOU!', 'LUIGI WE NEED YOU', 'we need you Luigi']"
1,559,1_unitedhealthcare_ceo_the_of,"['unitedhealthcare', 'ceo', 'the', 'of', 'to', 'and', 'insurance', 'are', 'for', 'that']","['the UnitedHealthcare CEO when he got to hell:', 'And this is the health system as well a lot of those people lose their insurance and can get the care that they need to go to work. Because of people like the man Brian Thompson that just got assassinated for being too greedy. I’m sure others will b', 'When I shot the CEO of UnitedHealthcare']"
2,452,2_mangione_luigi_free_pardon,"['mangione', 'luigi', 'free', 'pardon', 'me', 'my', 'need', 'to', 'him', 'this']","['FREE LUIGI MANGIONE , HE IS A HERO', 'Luigi Mangione, we need you!', 'you need a “Luigi Mangione”']"
3,447,3_brian_thompson_was_the,"['brian', 'thompson', 'was', 'the', 'of', 'to', 'people', 'he', 'killed', 'and']","['Brian Thompson killed more people than his killer.', 'Brian Thompson killed more people than his killer so….', 'I killed Brian Thompson']"
4,428,4_unitedhealthcare_the_to_of,"['unitedhealthcare', 'the', 'to', 'of', 'and', 'insurance', 'for', 'health', 'they', 'healthcare']","['Think of all the cancer patients who were denied care. \nThink of all the people who were suffering and didnt receive medical attention needed to save them, so the company saves M O N E Y. #UnitedHealthcare\nI have a personal experience with this. \nI hope he gets away, NOT SORRY.', '. with  and  : Did #BrianThompson of #UnitedHealthcare have It Coming?', 'In 2023, UnitedHealthcare reported $22 billion in profits. They also lead the field in claim denials. And they’re not alone.\n\nHealth insurance companies are in the business of denying our healthcare. They profit off the suffering of you and your loved ones. Prove me wrong!']"
5,395,5_mangione_is_the_luigi,"['mangione', 'is', 'the', 'luigi', 'and', 'to', 'of', 'he', 'ceo', 'for']","['He murdered a CEO is what he did! He was a brave Italian assassin. And in this house Luigi Mangione is a hero—\nend of story', 'He took on the corrupt healthcare system is what he did, and in this house Luigi Mangione is an Italian American hero, end of story!', 'he killed a ceo is what he did, he was a brave italian killer and in this house luigi mangione is a hero, end of story']"
6,383,6_luigi_killed_is_and,"['luigi', 'killed', 'is', 'and', 'the', 'he', 'to', 'was', 'of', 'that']","['Brian Thompson murdered tens of thousands of people and was trying to murder more. Whoever killed him (not proven to be Luigi) is a hero for getting justice for Brians victims in the only way possible since the government not only doesnt stop people like Brian, they are complicit', 'Men are melting down. Like it or not, Luigi had his code and he did what he felt was just. \n\nMost people know murder is wrong, but as an example, most people wouldn’t hesitate to kill a pedophile, they have accepted the terms and so did Luigi. That’s why he’s a hero to many.', ""When person killed was a man who let thousands die for profit, yeah I'm glad he's dead\n\nWas what Luigi did illegal, yes for sure it was and he should be punished for his actions\n\nWere his actions just, also yes\n\nThe law and just are not always on the same side""]"
7,382,7_brian_thompson_ceo_united,"['brian', 'thompson', 'ceo', 'united', 'of', 'the', 'to', 'healthcare', 'in', 'ai']","['Read ""Reporter has ‘no sympathy’ for UnitedHealthcare CEO Brian Thompson"" \n Because health insurance companies are SO greedy, I can\'t help but wonder how many people are dead BECAUSE OF Brian Thompson and ceo\'s like him..', 'While Brian Thompson was CEO of United Health Care, the company began using an AI to automate the denial of services. The AI was found to have a 90% error rate, but the company continued to use it, resulting in people being denied medically-necessary and fully-covered treatments.', 'Oh no!\n\nThe CEO of United Healthcare who used AI to deny health coverage to millions, Brian Thompson, was shot in the chest and died.\n\nAnyway']"
8,373,8_luigi_did_he_the,"['luigi', 'did', 'he', 'the', 'this', 'that', 'have', 'wrong', 'was', 'is']","['See now why Luigi did what he did??', 'That’s why Luigi did what he did, because it was morally right to do so', 'This is why Luigi did what he did']"
9,357,9_insurance_healthcare_luigi_the,"['insurance', 'healthcare', 'luigi', 'the', 'health', 'to', 'and', 'is', 'of', 'you']","['What’s crazy is Luigi will probably end up having better healthcare for the rest of his life than most Americans. That’s how bad our healthcare system is. Killing a healthcare CEO can actually improve your healthcare…', 'How many loved ones have died from health care denied to them health insurance companies?\n\nWhat Luigi did was the inevitable result of a system which denies people life saving care', 'This fund isn’t about Luigi. It’s about the fact that the real criminals are in the health insurance industry. If we are going to rip on this COO getting gunned down, we need to talk about the thousands of people that were rejected by health insurance companies.']"
