Topic,Count,Name,Representation,Representative_Docs
0,130,0_brian_thompson_to_and,"['brian', 'thompson', 'to', 'and', 'the', 'you', 'of', 'is', 'death', 'thompsons']","['The death of Brian Thompson shows that the discourse in this country is can actually translate to violence in real life. We need to be better. Thoughts are with Brian’s family, friends, and the entire  family.', 'Brian Thompson didn’t murder anyone. No one at his company has murdered anyone. People have died under their rules and regulations, & yes, there should be a discussion about that. But that is not now, & to say you’re “joyful” or in any way happy his death happened is disgusting.', 'Brian Thompson was a person to whether you like it or not and you all are making a hero out of his killer and celebrating his death . Do you have any sympathy for his two children and his wife?']"
1,127,1_unitedhealthcare_ceo_the_of,"['unitedhealthcare', 'ceo', 'the', 'of', 'are', 'murder', 'this', 'is', 'you', 'and']","['. on the killing of the UnitedHealthcare CEO: ""What has been shocking to me is how much support there has been online for a heinous murder! This is a human being. He was murdered in cold blood from behind.""', 'Are you saying that the murder of the Unitedhealthcare CEO is OK????', 'The UnitedHealthCare ceo 😭😭']"
2,126,2_mangione_luigi_we_to,"['mangione', 'luigi', 'we', 'to', 'the', 'is', 'family', 'and', 'of', 'in']","['Statement from Luigi Mangione\'s family:\n\n""Our family is shocked and devastated by Luigi\'s arrest. We offer our prayers to the family of Brian Thompson and we ask people to pray for all involved.""', ""Luigi Mangione’s family has released a statement:\n\n“We only know what we have read in the media. Our family is shocked and devastated by Luigi's arrest. We offer our prayers to the family of Brian Thompson and we ask people to pray for all involved.”"", 'NEW from Luigi Mangione\'s family:\n""We only know what we have read in the media. Our family is shocked and devastated by Luigi’s arrest. We offer our prayers to the family of Brian Thompson and we ask people to pray for all involved. We are devastated by this news.""']"
3,119,3_luigi_is_the_in,"['luigi', 'is', 'the', 'in', 'he', 'and', 'back', 'man', 'you', 'to']","[""Brooklyn man you are a delusional person don't you see the difference I would have killed that f****** idiot if he got on the same car that I was in when you threatened to kill somebody all bets are off nobody's going to hold your hand.that coward Luigi shot the man in the back."", 'Luigi is a coward. He shot him in The back. This was premeditated murder. He is lucky NY doesn’t have the death penalty. Life in prison will work.', 'He shot a man in the back. The man was a father and husband. Luigi was a self-entitled coward who will spend the rest of his life having to worry about being taken from the back. Seems appropriate to me.']"
4,105,4_mangione_luigi_ceo_the,"['mangione', 'luigi', 'ceo', 'the', 'of', 'to', 'is', 'this', 'unitedhealthcare', 'healthcare']","['Donald Trump on the United Healthcare CEO sho*ter Luigi Mangione:\n\n""I think it\'s a terrible thing. It\'s really terrible some people seem to admire him... How people can like this guy is a sickness.""', ""I'm at a huge loss as to why people are cheering the guy (Luigi Mangione) who killed the Ceo of United Healthcare as a hero."", 'The people glorifying Luigi Mangione for his murder of the united healthcare CEO are just as bad as him']"
5,102,5_thompson_brian_was_the,"['thompson', 'brian', 'was', 'the', 'innocent', 'an', 'person', 'would', 'coward', 'you']","['Um...Brian Thompson was an innocent person.', 'Brian Thompson was an innocent man.', 'Brian Thompson was a hero']"
6,93,6_unitedhealth_ceo_thompson_brian,"['unitedhealth', 'ceo', 'thompson', 'brian', 'group', 'of', 'the', 'healthcare', 'unitedhealthcare', 'united']","['UnitedHealth Leader Addresses CEO Murder and Flaws in Health Care System\n\nIn an op-ed published in The New York Times, Andrew Witty, CEO of UnitedHealth Group, paid tribute to the late CEO Brian Thompson, who was tragically shot and killed in New York City. Witty acknowledged the…', 'In response to the incident, UnitedHealthcare issued a statement. The company wrote, “We are deeply saddened and shocked at the passing of our dear friend and colleague Brian Thompson, the CEO of UnitedHealthcare. Brian was a highly respected colleague and friend to all who…', 'The full statement from UnitedHealth Group regarding their colleague Brian Thompson:\n\nUnitedHealth Group Statement on Our Friend and Colleague Brian Thompson \nDecember 05, 2024\n\nUnitedHealth Group today issued the following statement:\n\n""While our hearts are broken, we have been…']"
7,84,7_ceo_unitedhealthcare_thompson_brian,"['ceo', 'unitedhealthcare', 'thompson', 'brian', 'in', 'the', 'of', 'york', 'outside', 'and']","['Brian Thompson, CEO of UnitedHealthcare, was tragically shot and killed this morning outside of a hotel he was staying at in New York City, in what police believe was a targeted attack. Thompson was a father of two.\n\nSenseless gun violence is tearing families apart.\n\nOur hearts…', 'Brian Thompson, the CEO of UnitedHealthcare, was assassinated in New York City yesterday. The 50-year-old executive was fatally shot outside the New York Hilton Midtown hotel in what authorities describe as a targeted attack. In one word, let us honor his memory.', 'Brian Thompson, a 50-year-old father of two and the CEO of UnitedHealthcare, was shot and killed this morning outside the Hilton hotel in Manhattan in what police believe was a targeted attack. Brian was set to speak today at a conference at the hotel.']"
8,77,8_family_brian_thompsons_his,"['family', 'brian', 'thompsons', 'his', 'prayers', 'and', 'for', 'this', 'my', 'thompson']","['RIP. Thoughts and prayers to his family.', 'Very sad. My prayers and condolences to Brian Thompson’s family whose father and husband was taken from.', '“prayers to the family of Brian Thompson”']"
9,76,9_the_ceo_murder_of,"['the', 'ceo', 'murder', 'of', 'unitedhealthcare', 'thompson', 'brian', 'celebrating', 'for', 'healthcare']","['This nut is celebrating the murder of United Healthcare CEO Brian Thompson. These people are sick!', 'Let’s get this straight. \n\nSince the left is actually celebrating the death of United Healthcare’s CEO Brian Thompson, the lack of outcry for gun control is deafening. \n\nIf they really mean what they say, the left has to change their whole stance on guns. \n\nOr is it a…', 'There are way too many people who are okay with the murder of Brian Thompson, the UnitedHealthcare CEO.']"
10,76,10_mangione_is_the_man,"['mangione', 'is', 'the', 'man', 'you', 'he', 'back', 'in', 'to', 'and']","['Kyle Rittenhouse never murdered anybody. He bravely defended his life against violent criminals attacking him. He did absolutely nothing wrong. But Mangione did absolutely everything wrong. He laid in ambush and murdered an innocent man by shooting them in the back like a coward.', 'You are an imbecile. \n\nMangione cowardly shot a man in the back for no reason. \n\nYou can blather on all you want about the evils of the medical industry but you can lay the blame at the feet of one man, what did that cowardly act accomplish? NOTHING! The medical industry did not…', 'Mangione shot an innocent man in the back? You know that?']"
