Topic,Count,Name,Representation,Representative_Docs
0,2873,0_luigi_you_the_to,"['luigi', 'you', 'the', 'to', 'is', 'and', 'this', 'my', 'it', 'that']","['DO IT FOR LUIGI', 'Luigi, we need you', ""I just want to know who he is, to get lost with him. I'm in love with how he came out in this damn photo and I know perfectly well that it's not Luigi and screw me... he never will be. But my curious mind attracts me to him like a magnet..""]"
1,2323,1_mangione_the_to_is,"['mangione', 'the', 'to', 'is', 'luigi', 'and', 'of', 'for', 'that', 'in']","['He took on the corrupt healthcare system is what he did, and in this house, Luigi Mangione is an Italian American hero, end of story!', ""What's y'all stance on the Luigi Mangione murder case of the CEO of United healthcare?? \nI just read his manifesto and that man is a martyr for all of us!"", 'The elites are afraid of the implications of an assassin getting away with this, and they couldn’t find the guy. So they are framing Luigi Mangione for it. They want someone who everyone would want the assassin to be. \nThe important thing to them is that he’s “caught”']"
2,2080,2_mangione_luigi_the_in,"['mangione', 'luigi', 'the', 'in', 'to', 'of', 'is', 'and', 'for', 'my']","['Luigi Mangione, we need you!', 'FREE LUIGI MANGIONE , HE IS A HERO', 'Luigi Mangione is the hero of the people.']"
3,1736,3_the_luigi_is_to,"['the', 'luigi', 'is', 'to', 'and', 'of', 'he', 'that', 'in', 'not']","[""honestly been thinking about this and the fact that even if he did turn himself in to prove luigi innocent it wouldn't do anything bc it's not like the cops would admit that they were wrong or that they deliberately framed him like lol"", ""It's a setup. Luigi, the McDonalds employee and the real shooter are all part of the group who did this hit.\n\nLuigi is the distraction while the real shooter escapes. Then he gets proved to not be the shooter and they get away with it."", 'Of course he did it but I believe what the guy is trying to say is that he didn’t do it on his own. The insurance guy was set up. How did Luigi know he was going to be there? Who was that guy there to met? The NYPD is busy parading him around like he’s Batman.']"
4,1431,4_the_luigi_to_is,"['the', 'luigi', 'to', 'is', 'and', 'of', 'that', 'are', 'you', 'this']","['For the twats who don’t see it. The government and media are going to say the most horrific and terrible things they can about Luigi (CEO shooter).\n\nThey are doing this for money and power, of which you have none.\n\nHe, Luigi-will be cast in the media as an abuser, homosexual,…', 'Being as honest as possible, the best way someone can support Luigi’s cause and make more progress for the working class is to do what he did. For legal reasons, I am not condoning this, but that is what will need to be done.', 'i know a lot of people criticize the fact that the internet is treating luigi like a hero but, actually, his actions COULD lead to change, it could tell those in power they aren’t really that powerful and that, ultimately, it is the people who decide if they are aware enough.']"
5,1421,5_the_to_and_luigi,"['the', 'to', 'and', 'luigi', 'ceo', 'of', 'is', 'that', 'for', 'people']","[""They literally have the money and power to cure diseases for people and their health condition but they don't do anything about it. They wait until they die and they get paid for it!\n\nThat's more lives than 1 ceo's life the Luigi guy took."", ""This is why so many people see Luigi as a hero.\n\nI'm not saying Luigi is the answer, I'm saying that the American healthcare industry is broken, needs to be fixed, and insurance companies and Big Pharma both are at the heart of it.\n\nMAHA"", 'The CEO killed this man\n\nThe CEO deserved to die in pain and suffering like the people he killed\n\nLuigi is a merciful martyr that put his life on the line for the sake of the American people, and killed his target humanely\n\nLuigi is a hero and you are a bootlicking dog.']"
6,1295,6_brian_thompson_the_of,"['brian', 'thompson', 'the', 'of', 'unitedhealthcare', 'to', 'and', 'ceo', 'was', 'for']","['Brian Thompson was an evil, greedy man. His company has a denial rate of over 30%. So tell me how you can support a man who is responsible for thousands of deaths in America? Brian Thompson is also a murderer. I don’t condone violence but he had it coming… 🤷🏻\u200d♀️', 'Fuck Brian Thompson! He is in Hell because he is the cause of this;', 'We do not know that was him in the video.\n\nWhoever it was in that video, however, did the right thing. Brian Thompson was just as much a murderer as his killer: more so, actually, since as CEO Thompson is responsible for the deaths of thousands.']"
7,969,7_luigi_the_to_is,"['luigi', 'the', 'to', 'is', 'you', 'for', 'coin', 'thank', 'this', 'and']","['we will get it! $luigi is the movement', '$luigi is a movement \n \n$luigi and #luigimangione', '$Luigi is ❤️\u200d🔥🚀']"
8,661,8_free_luigi_my_freeluigi,"['free', 'luigi', 'my', 'freeluigi', 'he', 'him', 'and', 'boy', 'nigga', 'the']","['& free $LUIGI', 'Free $Luigi', 'Free $LUIGI !!!!']"
9,164,9_pardon_biden_luigi_pardoned,"['pardon', 'biden', 'luigi', 'pardoned', 'trump', 'should', 'president', 'mangione', 'joe', 'can']","['Should Biden pardon Luigi?', 'If Joe Biden can pardon Hunter Biden he should also pardon Luigi Mangione\n\nFREE LUIGI MANGIONE! 😍', 'Should Biden pardon Luigi Mangione?']"
