Topic,Count,Name,Representation,Representative_Docs
0,34,0_unitedhealthcare_for_it_healthcare,"['unitedhealthcare', 'for', 'it', 'healthcare', 'with', 'uhc', 'in', 'the', 'your', 'defend']","[""Special announcement: We're now in-network with #UnitedHealthcare (#Optum)! That’s good news for their members who want treatment at one of the nation’s leading hospitals for psychiatric or addiction treatment. Call 713-275-5400 for more info."", 'Gear up like an assassin, but this time with healthcare on your side. 🗡️💊 Show off your stealthy style with the Assassin’s Creed UnitedHealthcare! Perfect for gamers and healthcare warriors alike. 🖤 Grab yours now! 👉', ""Looking for a Medicare plan that meets your needs and budget? I can help. I'm a licensed sales agent for UnitedHealthcare Medicare Advantage plans based in FL. Call me at 727-688-9125 , TTY 711.\n\nWe only have a fews days left of Open Enrollment. Contact me soon!""]"
1,33,1_the_of_unitedhealthcare_to,"['the', 'of', 'unitedhealthcare', 'to', 'ceo', 'murder', 'and', 'what', 'insurance', 'for']","['im sorry but all these are so stupid, like what are you trying to prove? if anything, this just proves that NO ONE is safe from an unfair and disgusting system such as the health industry, you’re just making me angrier and more supportive of him 🤷🏻\u200d♀️', 'Chris Murphy…. “I’m never going to condone gun violence”…. Then goes on to basically justify the murder of the UnitedHealthCare CEO. \n\nHe also seems to forget that the insurance industry is heavily regulated in all they do due to the ObamaCare act which he voted for.', '“THE WAY THE LEFT IS FANTASIZING OVER THE DEATH OF ANOTHER HUMAN BEING IS JUST SICK!”  and the hosts of  discuss the liberal support of the murderer of UnitedHealthCare’s CEO. ""The left seems to be on the other side of right and wrong.”']"
2,27,2_luigi_insurance_to_and,"['luigi', 'insurance', 'to', 'and', 'in', 'are', 'who', 'you', 'that', 'him']","['Luigi grew up in privilege, was never even a customer of UHC, apparently did get treatment for his back.\n\nBrian Thompson grew up middle class and made his own way.\n\nLiberals are cheering on a coddled rich kid who murdered a good guy who worked for everything he had.', 'Luigi is an elitist, spoiled, rich kid who shot a husband & father in the back who grew up poor on a farm in Iowa & worked hard for his position & improved insurance access for customers.\n\nRittenhouse shot people attacking him in an effort to do him bodily harm\n\nLIBERAL MORAL ROT', 'Don’t go with that company then😂 almost every ceo has done evil things to better their company. That’s how the world works. You weirdos who are gagging for this murderer are so weird. If Luigi looked like you, no one would give a shit and the story would be forgotten after a day']"
3,27,3_brian_thompson_of_was,"['brian', 'thompson', 'of', 'was', 'the', 'to', 'is', 'his', 'that', 'and']","['Someone talking to my husband actually knew him and said that Brian Thompson was a great person and was actually working towards improving care. It’s horrible anyone thinks his cowardly murder is okay or would fix anything.', 'I’m done engaging with anyone who condones the murder of Brian Thompson. You are the lowest of the low if you are gleeful that a man lost his life today because you don’t like the industry he headed.', 'What I hear about Brian Thompson is nothing like what you make him out to be. From people that actually know him I hear he was a good guy working to improve United Healthcare.']"
4,21,4_ceo_brian_the_thompson,"['ceo', 'brian', 'the', 'thompson', 'of', 'healthcare', 'and', 'united', 'leadership', 'unitedhealthcare']","['Identify the killer of Brian Thompson, United Healthcare CEO! That is my mother’s Medicare AARP insurance program. They have been good to my family. Mr. Thompson with resurrected as part of the First Resurrection! Get him off of the streets.', 'Brian Thompson was one of the many CEOs of the departments below you have to understand that. the media never looks into anything and they deliberately on purpose lie to you. the CEO of United healthcare was knighted by Queen Elizabeth!!!', 'I am deeply saddened by the tragic loss of Brian Thompson, CEO of UnitedHealthcare. Brian and his team have been great partners to T-Mobile. He was a leader dedicated to improving healthcare for millions and my thoughts are with his family, friends, and colleagues during this…']"
5,21,5_luigi_we_saved_you,"['luigi', 'we', 'saved', 'you', 'love', 'definitely', 'youve', 'defeated', 'see', 'he']","['Luigi definitely saved his life. This post would not have the impressions without Luigi and UHC wouldn’t have cared without Luigi.', '4XfSZHsdYoeiXb5qvzdGa3aq9gSGdCHBnAwewYHNa3Tp\n\nThank you Luigi \nWe appreciate all you’ve been doing for the community at large, even no win yet\n\nI’ll still keep supporting you ❤️ \nMuch love ❤️ legend Luigi', '$LUIGI also defeated Bowser, saved the mushroom kingdom, defeated an evil CEO overlord, saved health care as a WHOLE. \n\nNow he is on his journey to crush the charts and reach $100M! \n\nHelp him on this journey AND shill your bag 🚀🚀🚀📈📈📈']"
6,19,6_the_murder_of_thompson,"['the', 'murder', 'of', 'thompson', 'brian', 'ceo', 'healthcare', 'is', 'as', 'united']","['.: The Left is celebrating the murder of the United Healthcare CEO Brian Thompson to promote their socialist takeover of our medical system!', 'This nut is celebrating the murder of United Healthcare CEO Brian Thompson. These people are sick!', 'This smugly smiling murderer is being defended by the Left as they claim the murder of Brian Thompson was the product of capitalism and the lack of socialized Healthcare in the United States. \n\nDisgusting\n\nJared Craig, VP\nVFAF, National Chapter']"
7,18,7_mangione_the_luigi_is,"['mangione', 'the', 'luigi', 'is', 'of', 'ceo', 'on', 'who', 'let', 'and']","[""Look stupid no matter what hs beef was with UNITED HEALTHCARE it's no justification for shooting a man in the #BACK & this punk Luigi Mangione family probably has more money than the CEO BRIAN THOMPSON he cowardly killed & certainly more money than you DUMMIES who glorify him!"", ""Over the last few days, I've been watching the Left and Left MSM celebrating Luigi Mangione murdering UnitedHealthcare’s CEO, Brian Thompson. It is disgusting. It's also not a surprise since the Left love celebrating violence.\n\nThere's something more going on with them…"", ""Luigi Mangione is a criminal terrorist. He killed a ceo not just for revenge but in the hopes that it would stir political change. Brian is what any ceo is supposed to do: maximize profits. A ceo who doesn't do this is fired. Killing ceos (who are ppl) does nothing.""]"
8,18,8_brian_thompson_hero_you,"['brian', 'thompson', 'hero', 'you', 'was', 'for', 'injustice', 'is', 'real', 'thank']","['BrIaN tHoMpSoN iS tHe ReAl HeRo', 'Brian Thompson is a hero.', 'Brian Thompson was a hero']"
9,15,9_luigi_my_surgery_saint,"['luigi', 'my', 'surgery', 'saint', 'health', 'care', 'ive', 'the', 'for', 'healthcare']","['Got a new job and I get benefits imma make this money then use those benefits to have the surgery on my knees that I’ve needed for years 😭 been walking around with a torn LCL, ACL, meniscus, patellar tendon, and broken foot for 2 years I’m so happy rn ily Luigi.', ""I just want to thank Luigi Mangione for helping my husband take care of me the day after my cataract surgery. He was helping my husband do chores around the house on 12/04/24 while I was sleeping off the anesthesia. Such a kind soul who'd never do anything wrong."", ""hi I am the partner with the messed up back\n- I am not Luigi nor going to pull a Luigi\n- I needed surgery from the ER so didn't get to pick my surgeon\n- my v good tech health insurance denied the claim $60k+ claim originally, but after four months of appeals + reviews, approved""]"
