Document,Topic,Name,Representation,Representative_Docs,Top_n_words,Representative_document,Date,DateTime
Thank you for the response #TSTheErasTour #UnitedAgainstCorruption #UnitedHealthcare #healthcare #LifeSaver #fighters #everyone #Trending #AlwaysWonder,0,0_unitedhealthcare_for_defend_your,"['unitedhealthcare', 'for', 'defend', 'your', 'up', 'now', 'yours', 'plans', 'wear', 'deny']","['💼 UnitedHealthcare Deny Defend Depose – because corporate strategies deserve a bold statement. Wear it loud, wear it proud! 🛒 Grab yours now 👉', 'Gear up like an assassin, but this time with healthcare on your side. 🗡️💊 Show off your stealthy style with the Assassin’s Creed UnitedHealthcare! Perfect for gamers and healthcare warriors alike. 🖤 Grab yours now! 👉', ""Looking for a Medicare plan that meets your needs and budget? I can help. I'm a licensed sales agent for UnitedHealthcare Medicare Advantage plans based in FL. Call me at 727-688-9125 , TTY 711.\n\nWe only have a fews days left of Open Enrollment. Contact me soon!""]",unitedhealthcare - for - defend - your - up - now - yours - plans - wear - deny,False,12/9/2024 21:58,12/9/2024 21:58
"$UHC is the coin for the people, by Luigi Mangione and his sacrifice #UnitedHealthcareAssassin",0,0_unitedhealthcare_for_defend_your,"['unitedhealthcare', 'for', 'defend', 'your', 'up', 'now', 'yours', 'plans', 'wear', 'deny']","['💼 UnitedHealthcare Deny Defend Depose – because corporate strategies deserve a bold statement. Wear it loud, wear it proud! 🛒 Grab yours now 👉', 'Gear up like an assassin, but this time with healthcare on your side. 🗡️💊 Show off your stealthy style with the Assassin’s Creed UnitedHealthcare! Perfect for gamers and healthcare warriors alike. 🖤 Grab yours now! 👉', ""Looking for a Medicare plan that meets your needs and budget? I can help. I'm a licensed sales agent for UnitedHealthcare Medicare Advantage plans based in FL. Call me at 727-688-9125 , TTY 711.\n\nWe only have a fews days left of Open Enrollment. Contact me soon!""]",unitedhealthcare - for - defend - your - up - now - yours - plans - wear - deny,False,12/9/2024 19:44,12/9/2024 19:44
Smdh this Luigi Mangione stuff is just another attack on my people,17,17_mangione_saint_luigi_care,"['mangione', 'saint', 'luigi', 'care', 'patron', 'tard', 'my', 'helping', 'health', 'our']","['Luigi Mangione ~ \nThe Patron Saint of \nAmerican Health Care ✝️ 🏥', ""LUIGI MANGIONE is a dumb loser who murdered #UnitedHealthcare CEO Brian Thompson because he hurt his tard back due to sucking at surfing. He also eats McDonalds, is a weak drug addict and listens to Taylor Swift because he's a tard! #MAGA #FreeLuigi #IstandWithUnitedHealthcare"", ""I just want to thank Luigi Mangione for helping my husband take care of me the day after my cataract surgery. He was helping my husband do chores around the house on 12/04/24 while I was sleeping off the anesthesia. Such a kind soul who'd never do anything wrong.""]",mangione - saint - luigi - care - patron - tard - my - helping - health - our,False,12/9/2024 19:39,12/9/2024 19:39
"This smugly smiling murderer is being defended by the Left as they claim the murder of Brian Thompson was the product of capitalism and the lack of socialized Healthcare in the United States. 

Disgusting

Jared Craig, VP
VFAF, National Chapter",14,14_the_of_healthcare_assassination,"['the', 'of', 'healthcare', 'assassination', 'murder', 'celebrating', 'ceo', 'thompson', 'united', 'ones']","['The assassination of UnitedHealthcare CEO Brian Thompson is a lot like the assassination of JFK in the sense that both men died as martyrs who fought tirelessly to better the lives of the American people, and the only ones left cheering were the Southern hicks and the commies.', 'This smugly smiling murderer is being defended by the Left as they claim the murder of Brian Thompson was the product of capitalism and the lack of socialized Healthcare in the United States. \n\nDisgusting\n\nJared Craig, VP\nVFAF, National Chapter', 'DISGUSTING: Fat left activists are posting videos celebrating the killing of United Healthcare CEO Brian Thompson and describing the murderer as a “hero.”\n\nThese same freaks are the ones who say genocide when countries go after terrorists.']",the - of - healthcare - assassination - murder - celebrating - ceo - thompson - united - ones,True,12/9/2024 19:38,12/9/2024 19:38
"Couldn't have been Luigi, sorry. Me and him were hanging out all last week in Cambria, CA. Had a few drinks and my man couldn't shut up about how much he loved his new health insurance plan at work.",2,2_insurance_luigi_me_my,"['insurance', 'luigi', 'me', 'my', 'had', 'bring', 'away', 'daylight', 'gonna', 'cross']","['Someone needs to lie their way onto the jury. \n\nPractice with me: \n“Luigi Who? I love my health insurance!”\n\nThen cross your arms and say not guilty no matter what evidence they bring in.', 'had a lovely time with my friend Luigi Mangione at my house in the UK far away from New York last week talking about how great health insurance CEOs are', ""Couldn't have been Luigi, sorry. Me and him were hanging out all last week in Cambria, CA. Had a few drinks and my man couldn't shut up about how much he loved his new health insurance plan at work.""]",insurance - luigi - me - my - had - bring - away - daylight - gonna - cross,True,12/9/2024 19:24,12/9/2024 19:24
had a lovely time with my friend Luigi Mangione at my house in the UK far away from New York last week talking about how great health insurance CEOs are,2,2_insurance_luigi_me_my,"['insurance', 'luigi', 'me', 'my', 'had', 'bring', 'away', 'daylight', 'gonna', 'cross']","['Someone needs to lie their way onto the jury. \n\nPractice with me: \n“Luigi Who? I love my health insurance!”\n\nThen cross your arms and say not guilty no matter what evidence they bring in.', 'had a lovely time with my friend Luigi Mangione at my house in the UK far away from New York last week talking about how great health insurance CEOs are', ""Couldn't have been Luigi, sorry. Me and him were hanging out all last week in Cambria, CA. Had a few drinks and my man couldn't shut up about how much he loved his new health insurance plan at work.""]",insurance - luigi - me - my - had - bring - away - daylight - gonna - cross,True,12/9/2024 18:56,12/9/2024 18:56
I want everyone to know that this is #FAKENEWS! The man in this video is NOT #UnitedHealthcare's CEO Brian Thompson! ALL LIES! Presented by none other than Biden's corrupt DOJ & the corrupt Blackstone Group!!! He was fighting them both at the time of his murder!! NO COINCIDENCES!,1,1_the_of_ceo_is,"['the', 'of', 'ceo', 'is', 'her', 'as', 'murder', 'unitedhealthcare', 'thompson', 'for']","[""#GROK summary:\n\nPiers Morgan loses it on air as Dem commentator says she has ZERO empathy for murdered #UnitedHealthcare CEO because 'healthcare system bad'. But what about empathy for the man, his family? 🤯 #PiersMorganUncensored #LuigiMangioni"", ""She's as EVIL as the man who assassinated Brian Thompson. Not bad, EVIL. I've worked for 50 years in healthcare and she's just wrong about it. It's not perfect but it beats any other system in the world. Try getting care in Canada or France. You'll wait months."", 'Elizabeth Warren made comments that encourage violence against the health care industry. How horrible! The senate should censure her and her constituents must vote her out of office. To justify the cold blooded murder of a Health Care CEO is reckless. Brian Thompson was murdered!']",the - of - ceo - is - her - as - murder - unitedhealthcare - thompson - for,False,12/9/2024 16:01,12/9/2024 16:01
"The assassination of UnitedHealthcare CEO Brian Thompson is a lot like the assassination of JFK in the sense that both men died as martyrs who fought tirelessly to better the lives of the American people, and the only ones left cheering were the Southern hicks and the commies.",14,14_the_of_healthcare_assassination,"['the', 'of', 'healthcare', 'assassination', 'murder', 'celebrating', 'ceo', 'thompson', 'united', 'ones']","['The assassination of UnitedHealthcare CEO Brian Thompson is a lot like the assassination of JFK in the sense that both men died as martyrs who fought tirelessly to better the lives of the American people, and the only ones left cheering were the Southern hicks and the commies.', 'This smugly smiling murderer is being defended by the Left as they claim the murder of Brian Thompson was the product of capitalism and the lack of socialized Healthcare in the United States. \n\nDisgusting\n\nJared Craig, VP\nVFAF, National Chapter', 'DISGUSTING: Fat left activists are posting videos celebrating the killing of United Healthcare CEO Brian Thompson and describing the murderer as a “hero.”\n\nThese same freaks are the ones who say genocide when countries go after terrorists.']",the - of - healthcare - assassination - murder - celebrating - ceo - thompson - united - ones,True,12/8/2024 22:56,12/8/2024 22:56
This is a fantastic portrait of deposed United Health CEO Brian Thompson.,8,8_leadership_brian_thompsons_ceo,"['leadership', 'brian', 'thompsons', 'ceo', 'unitedhealth', 'thompson', 'and', 'healthcare', 'unitedhealthcare', 'providers']","['As America shut down in March 2020, and federal officials struggled to get $$ to desperate health providers, Brian Thompson said UnitedHealth could do it asap — and they did.\n\nThe $135 billion fund helped keep countless providers afloat.\n\nThompson’s role has never been reported.', '💔 A tragic loss for UnitedHealth Group as CEO Brian Thompson is remembered. 📉 Despite challenges, the company remains strong! Discover the full story and future outlook here: [Link] #UnitedHealth #Leadership #Healthcare', 'I am deeply saddened by the tragic loss of Brian Thompson, CEO of UnitedHealthcare. Brian and his team have been great partners to T-Mobile. He was a leader dedicated to improving healthcare for millions and my thoughts are with his family, friends, and colleagues during this…']",leadership - brian - thompsons - ceo - unitedhealth - thompson - and - healthcare - unitedhealthcare - providers,False,12/8/2024 19:25,12/8/2024 19:25
luigi the best man in this space. chad 🗿,12,12_luigi_you_love_youve,"['luigi', 'you', 'love', 'youve', 'see', 'we', 'happy', 'been', 'finish', '4xfszhsdyoeixb5qvzdga3aq9gsgdchbnawewyhna3tp']","[""We're happy not to see you sad. We want to see you well and protected Luigi"", ""I see you've been quadruple ratioed\n\nWould you say you learned anything? If so, what? \n\nDon't talk badly about our guy, Luigi"", '4XfSZHsdYoeiXb5qvzdGa3aq9gSGdCHBnAwewYHNa3Tp\n\nThank you Luigi \nWe appreciate all you’ve been doing for the community at large, even no win yet\n\nI’ll still keep supporting you ❤️ \nMuch love ❤️ legend Luigi']",luigi - you - love - youve - see - we - happy - been - finish - 4xfszhsdyoeixb5qvzdga3aq9gsgdchbnawewyhna3tp,False,12/8/2024 18:16,12/8/2024 18:16
